dataset,task,model,preproc,protocol,seed,subject,n_test,accuracy
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260916,1,288,0.791667
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260916,2,288,0.576389
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260916,3,288,0.864583
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260916,4,288,0.652778
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260916,5,288,0.559028
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260916,6,288,0.652778
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260916,7,288,0.569444
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260916,8,288,0.895833
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260916,9,288,0.78125
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260917,1,288,0.736111
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260917,2,288,0.548611
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260917,3,288,0.854167
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260917,4,288,0.638889
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260917,5,288,0.527778
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260917,6,288,0.607639
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260917,7,288,0.548611
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260917,8,288,0.902778
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260917,9,288,0.777778
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260918,1,288,0.673611
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260918,2,288,0.503472
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,session_disjoint,20260918,3,288,0.826389
