task,protocol,seed,fold,metric,value,n,note
real_left_right_fist,subject_disjoint,20260917,subj2,mean_abs_cos_w_d_s_train_subjects,0.151382,73,
real_left_right_fist,subject_disjoint,20260917,subj2,mean_abs_cos_w_d_s_test_subjects,0.0888497,73,
real_left_right_fist,subject_disjoint,20260917,subj2,abs_cos_w_d_global,0.478452,73,
real_left_right_fist,subject_disjoint,20260917,subj2,fraction_w_in_span_all_d_s,0.42714,73,
real_left_right_fist,subject_disjoint,20260917,subj2,fraction_w_in_span_train_d_s,0.39412,73,
real_left_right_fist,subject_disjoint,20260918,subj0,mean_abs_cos_w_d_s_train_subjects,0.142604,72,
real_left_right_fist,subject_disjoint,20260918,subj0,mean_abs_cos_w_d_s_test_subjects,0.0882332,72,
real_left_right_fist,subject_disjoint,20260918,subj0,abs_cos_w_d_global,0.452243,72,
real_left_right_fist,subject_disjoint,20260918,subj0,fraction_w_in_span_all_d_s,0.450311,72,
real_left_right_fist,subject_disjoint,20260918,subj0,fraction_w_in_span_train_d_s,0.391782,72,
real_left_right_fist,subject_disjoint,20260918,subj1,mean_abs_cos_w_d_s_train_subjects,0.148791,73,
real_left_right_fist,subject_disjoint,20260918,subj1,mean_abs_cos_w_d_s_test_subjects,0.0873477,73,
real_left_right_fist,subject_disjoint,20260918,subj1,abs_cos_w_d_global,0.467029,73,
real_left_right_fist,subject_disjoint,20260918,subj1,fraction_w_in_span_all_d_s,0.430647,73,
real_left_right_fist,subject_disjoint,20260918,subj1,fraction_w_in_span_train_d_s,0.399631,73,
real_left_right_fist,subject_disjoint,20260918,subj2,mean_abs_cos_w_d_s_train_subjects,0.151285,73,
real_left_right_fist,subject_disjoint,20260918,subj2,mean_abs_cos_w_d_s_test_subjects,0.082714,73,
real_left_right_fist,subject_disjoint,20260918,subj2,abs_cos_w_d_global,0.472782,73,
real_left_right_fist,subject_disjoint,20260918,subj2,fraction_w_in_span_all_d_s,0.462478,73,
real_left_right_fist,subject_disjoint,20260918,subj2,fraction_w_in_span_train_d_s,0.413781,73,
