task,model,k,draw,subject,n_test,accuracy
imagery_left_right_fist,csp_lda,8,0,89,15,0.533333
imagery_left_right_fist,csp_lda,16,0,89,15,0.533333
imagery_left_right_fist,csp_lda,30,0,89,15,0.533333
imagery_left_right_fist,csp_lda,4,1,89,15,0.533333
imagery_left_right_fist,csp_lda,8,1,89,15,0.533333
imagery_left_right_fist,csp_lda,16,1,89,15,0.533333
imagery_left_right_fist,csp_lda,30,1,89,15,0.533333
imagery_left_right_fist,csp_lda,4,2,89,15,0.533333
imagery_left_right_fist,csp_lda,8,2,89,15,0.533333
imagery_left_right_fist,csp_lda,16,2,89,15,0.533333
imagery_left_right_fist,csp_lda,30,2,89,15,0.533333
imagery_left_right_fist,csp_lda,0,0,91,15,0.6
imagery_left_right_fist,csp_lda,4,0,91,15,0.6
imagery_left_right_fist,csp_lda,8,0,91,15,0.6
imagery_left_right_fist,csp_lda,16,0,91,15,0.533333
imagery_left_right_fist,csp_lda,30,0,91,15,0.6
imagery_left_right_fist,csp_lda,4,1,91,15,0.6
imagery_left_right_fist,csp_lda,8,1,91,15,0.6
imagery_left_right_fist,csp_lda,16,1,91,15,0.6
imagery_left_right_fist,csp_lda,30,1,91,15,0.6
imagery_left_right_fist,csp_lda,4,2,91,15,0.6
imagery_left_right_fist,csp_lda,8,2,91,15,0.6
imagery_left_right_fist,csp_lda,16,2,91,15,0.6
imagery_left_right_fist,csp_lda,30,2,91,15,0.6
imagery_left_right_fist,csp_lda,0,0,101,15,0.533333
imagery_left_right_fist,csp_lda,4,0,101,15,0.466667
imagery_left_right_fist,csp_lda,8,0,101,15,0.533333
imagery_left_right_fist,csp_lda,16,0,101,15,0.466667
imagery_left_right_fist,csp_lda,30,0,101,15,0.533333
imagery_left_right_fist,csp_lda,4,1,101,15,0.533333
imagery_left_right_fist,csp_lda,8,1,101,15,0.466667
imagery_left_right_fist,csp_lda,16,1,101,15,0.533333
imagery_left_right_fist,csp_lda,30,1,101,15,0.533333
imagery_left_right_fist,csp_lda,4,2,101,15,0.533333
imagery_left_right_fist,csp_lda,8,2,101,15,0.533333
imagery_left_right_fist,csp_lda,16,2,101,15,0.533333
imagery_left_right_fist,csp_lda,30,2,101,15,0.533333
imagery_left_right_fist,csp_lda,0,0,102,14,0.642857
imagery_left_right_fist,csp_lda,4,0,102,14,0.642857
imagery_left_right_fist,csp_lda,8,0,102,14,0.642857
imagery_left_right_fist,csp_lda,16,0,102,14,0.642857
imagery_left_right_fist,csp_lda,30,0,102,14,0.642857
imagery_left_right_fist,csp_lda,4,1,102,14,0.642857
imagery_left_right_fist,csp_lda,8,1,102,14,0.642857
imagery_left_right_fist,csp_lda,16,1,102,14,0.642857
imagery_left_right_fist,csp_lda,30,1,102,14,0.642857
imagery_left_right_fist,csp_lda,4,2,102,14,0.642857
